time,timestamp,aX(m/s²),aY(m/s²),aZ(m/s²),nozzle_tem,bed_tem,THE(°C),current_layer,total_layers,OT
2025-03-04-20-29-00,105128096,-0.129,0.096,-0.196,250,70,31.5,1,206,0
2025-03-04-20-29-01,105129119,-0.057,0.024,-0.187,250,70,31.5,1,206,0
2025-03-04-20-29-02,105130142,-0.546,-0.345,-0.215,250,70,31.51,1,206,0
2025-03-04-20-29-03,105131132,-0.01,0.005,-0.211,250,70,31.52,1,206,0
2025-03-04-20-29-04,105132122,0,0.057,-0.206,250,70,31.52,1,206,0
2025-03-04-20-29-05,105133112,-0.005,-0.077,-0.191,250,70,31.53,1,206,0
2025-03-04-20-29-06,105134102,-0.335,-0.019,-0.191,250,70,31.54,1,206,0
2025-03-04-20-29-07,105135125,-0.024,-0.067,-0.206,250,70,31.54,1,206,0
2025-03-04-20-29-08,105136115,0.005,-0.072,-0.187,250,70,31.55,1,206,0
2025-03-04-20-29-09,105137105,-0.01,-0.053,-0.153,250,70,31.56,1,206,0
2025-03-04-20-29-10,105138095,-0.048,-0.105,-0.225,250,70,31.57,1,206,0
2025-03-04-20-29-11,105139118,0.005,-0.345,-0.172,250,70,31.57,1,206,0
2025-03-04-20-29-12,105140042,0,0.354,-0.187,250,70,31.57,1,206,0
2025-03-04-20-29-13,105141098,-0.273,-0.158,-0.191,250,70,31.58,1,206,0
2025-03-04-20-29-14,105142055,-0.096,0.01,-0.196,250,70,31.59,1,206,0
2025-03-04-20-29-15,105143078,0.584,0.067,-0.201,250,70,31.61,1,206,0
2025-03-04-20-29-16,105144101,0.072,0.388,-0.201,250,70,31.61,1,206,0
2025-03-04-20-29-17,105145025,0.234,0.115,-0.182,250,70,31.62,1,206,0
2025-03-04-20-29-18,105146081,0.019,1.464,-0.23,250,70,31.63,1,206,0
2025-03-04-20-29-19,105147137,-0.129,0.115,-0.196,250,70,31.64,1,206,0
2025-03-04-20-29-20,105148094,0.144,-0.656,-0.196,250,70,31.65,1,206,0
2025-03-04-20-29-21,105149117,0.234,-0.263,-0.196,250,70,31.66,1,206,0
2025-03-04-20-29-22,105150107,-0.215,0.646,-0.182,250,70,31.67,1,206,0
2025-03-04-20-29-23,105151097,-0.368,-1.101,-0.191,250,70,31.68,1,206,0
2025-03-04-20-29-24,105152087,0.244,0.282,-0.215,250,70,31.68,1,206,0
2025-03-04-20-29-25,105153110,0.029,0.148,-0.206,250,70,31.69,1,206,0
2025-03-04-20-29-26,105154133,-0.196,-0.368,-0.201,250,70,31.69,1,206,0
2025-03-04-20-29-27,105155123,-0.024,0.029,-0.215,250,70,31.7,1,206,0
2025-03-04-20-29-28,105156113,0.392,-0.373,-0.206,250,70,31.71,1,206,0
2025-03-04-20-29-29,105157136,0.345,0.187,-0.254,250,70,31.72,1,206,0
2025-03-04-20-29-30,105158093,0.024,-0.268,-0.201,250,70,31.72,1,206,0
2025-03-04-20-29-31,105159149,-0.167,-0.321,-0.201,250,70,31.74,1,206,0
2025-03-04-20-29-32,105160106,0.014,0.244,-0.201,250,70,31.74,1,206,0
2025-03-04-20-29-33,105161063,-0.234,-0.464,-0.201,250,70,31.75,1,206,0
2025-03-04-20-29-34,105162119,0.378,0.072,-0.201,250,70,31.76,1,206,0
2025-03-04-20-29-35,105163109,-0.11,0.096,-0.206,250,70,31.77,1,206,0
2025-03-04-20-29-36,105164099,0.148,0.105,-0.206,250,70,31.77,1,206,0
2025-03-04-20-29-37,105165089,0.014,-0.014,-0.215,250,70,31.78,1,206,0
2025-03-04-20-29-38,105166079,-0.316,0.22,-0.191,250,70,31.79,1,206,0
2025-03-04-20-29-39,105167102,-0.301,0.287,-0.201,250,70,31.8,1,206,0
